ID País Origem;País;Bandeira
AT;Austria;http://www.geonames.org/flags/x/at.gif
FR;France;http://www.geonames.org/flags/x/fr.gif
DE;Germany;http://www.geonames.org/flags/x/de.gif
HU;Hungary;http://www.geonames.org/flags/x/hu.gif
IT;Italy;http://www.geonames.org/flags/x/it.gif
NL;Netherlands;http://www.geonames.org/flags/x/nl.gif
PL;Poland;http://www.geonames.org/flags/x/pl.gif
RO;Romania;http://www.geonames.org/flags/x/ro.gif
SI;Slovenia;http://www.geonames.org/flags/x/si.gif
ES;Spain;http://www.geonames.org/flags/x/es.gif
CH;Switzerland;http://www.geonames.org/flags/x/ch.gif
GB;United Kingdom;http://www.geonames.org/flags/x/gb.gif
IE;Ireland;http://www.geonames.org/flags/x/ie.gif
IL;Israel;http://www.geonames.org/flags/x/il.gif
PT;Portugal;http://www.geonames.org/flags/x/pt.gif
RS;Serbia;http://www.geonames.org/flags/x/rs.gif
SK;Slovakia;http://www.geonames.org/flags/x/sk.gif
TR;Turkey;http://www.geonames.org/flags/x/tr.gif
BR;Brazil;http://www.geonames.org/flags/x/br.gif
CN;China;https://www.geonames.org/flags/x/cn.gif
US;United States;https://www.geonames.org/flags/x/us.gif
